Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,267.14053703045823,7.684932656363107,-3.1791711782534624,2.2528807390548224
1950-1979,1950,2,243.10710913650334,8.606898488769964,-3.0882574584698594,2.7593205151500526
1950-1979,1950,3,252.6319777247791,10.500190065529601,-1.870837831457729,4.314676117035936
1950-1979,1950,4,148.97974365607897,13.207878355368612,-0.46619604213962285,6.370841156614494
1950-1979,1950,5,73.88426707504209,17.50352715554567,2.5674328926282275,10.035480024086949
1950-1979,1950,6,17.993597318102974,23.101452998408586,6.74134224133616,14.921397619872375
1950-1979,1950,7,8.952697689257434,27.878147667316117,10.675513785766928,19.27683072654152
1950-1979,1950,8,10.651649338004942,26.95943497499227,9.631814384197533,18.2956246795949
1950-1979,1950,9,30.8265511907183,24.02789727105037,7.513096209142985,15.770496740096679
1950-1979,1950,10,111.04291909463261,18.451323875593445,3.782044725862478,11.116684300727961
1950-1979,1950,11,246.47872117906792,10.500486651906963,-1.3629114134698623,4.568787619218551
1950-1979,1950,12,272.26581498674466,6.888969781085242,-3.2341000035540515,1.8274348887655958
1951-1980,1951,1,266.9976432030688,7.662938083325817,-3.1711542988270254,2.245891892249396
1951-1980,1951,2,240.60594736862242,8.665173457604542,-3.0736428964966462,2.795765280553948
1951-1980,1951,3,248.85510819201744,10.586590911049099,-1.8370156817439935,4.374787614652552
1951-1980,1951,4,148.07923515681685,13.208879140652844,-0.49867143679885545,6.355103851926995
1951-1980,1951,5,78.10272407950387,17.36553385955165,2.5039836924563397,9.934758776003996
1951-1980,1951,6,19.59814947994853,22.991722210397768,6.662243172409211,14.82698269140349
1951-1980,1951,7,7.477739053114934,27.920542983020166,10.731507259733878,19.32602512137702
1951-1980,1951,8,10.659105442906617,26.8365917591803,9.501784454589732,18.169188106885017
1951-1980,1951,9,31.322884500321923,24.013240163428176,7.489992423641739,15.751616293534957
1951-1980,1951,10,111.29577699578887,18.390566977055787,3.7723868842029193,11.081476930629352
