Year Range,Year (30y start),Month,Pr (mm),Tasmax (degC),Tasmin (degC),Tave (degC)
1950-1979,1950,1,239.92287756423283,11.118537976233133,1.3614585993043262,6.23999828776873
1950-1979,1950,2,160.72619668383965,12.854965891733835,1.8900168881339487,7.372491389933893
1950-1979,1950,3,177.65122218755272,15.04642367835228,3.0604529976102914,9.053438337981284
1950-1979,1950,4,77.57154121031796,19.081634500068553,5.279939278942822,12.180786889505688
1950-1979,1950,5,43.48156520900975,23.374631599119734,8.4602880403425,15.917459819731116
1950-1979,1950,6,12.482269756719658,28.6344899531136,12.201335613406911,20.417912783260256
1950-1979,1950,7,1.1091703359086282,32.79504377951244,15.292700008787428,24.043871894149934
1950-1979,1950,8,1.241469513458434,31.663631502679355,14.161473490224449,22.9125524964519
1950-1979,1950,9,12.396672179413143,28.39502535635967,12.151859666255506,20.273442511307586
1950-1979,1950,10,75.45559822693967,22.815703402715165,8.614000932901833,15.7148521678085
1950-1979,1950,11,169.8951989248026,15.119827081334543,3.789230136090575,9.45452860871256
1950-1979,1950,12,240.84397266425262,11.724116561881036,2.177435119663471,6.950775840772253
1951-1980,1951,1,243.36815461473003,11.030008454422683,1.308780941750032,6.169394698086359
1951-1980,1951,2,171.9289564043123,12.823052246368064,1.9473799039804498,7.385216075174257
1951-1980,1951,3,178.82443009063292,15.1145312721067,3.1477796950715606,9.131155483589131
1951-1980,1951,4,79.410550246339,19.114009124577414,5.344758786207077,12.229383955392247
1951-1980,1951,5,43.95683609288787,23.289119307254108,8.433682204345311,15.861400755799709
1951-1980,1951,6,12.476168682259097,28.62876202142729,12.213451091922536,20.42110655667491
1951-1980,1951,7,1.1091703359086282,32.79619245631723,15.305950751571807,24.051071603944518
1951-1980,1951,8,1.2384972650982762,31.64595272321115,14.130293174618462,22.888122948914805
1951-1980,1951,9,12.342530512627347,28.590986570837924,12.361618952165593,20.476302761501756
1951-1980,1951,10,72.23350284677073,23.01150224963084,8.76916749152211,15.890334870576478
1951-1980,1951,11,165.05067371044157,15.13680016590143,3.7479669903314834,9.442383578116456
1951-1980,1951,12,239.57018153591724,11.63942017223315,2.0146789654406536,6.827049568836902
1952-1981,1952,1,246.9839965434292,11.107507490018858,1.4628882796196556,6.285197884819256
1952-1981,1952,2,171.05889548155608,12.766112671478693,1.9477402255607679,7.35692644851973
1952-1981,1952,3,177.31448018459412,15.128398507965057,3.1750472392075433,9.1517228735863
1952-1981,1952,4,79.85596006124693,19.201088331791414,5.427680892498196,12.314384612144805
1952-1981,1952,5,43.30033096170148,23.278186912515057,8.429262105340554,15.853724508927804
1952-1981,1952,6,12.476168682259097,28.581893110665685,12.161878369426192,20.371885740045936
1952-1981,1952,7,1.1091703359086282,32.781321404569916,15.26899787803527,24.025159641302594
1952-1981,1952,8,1.2432658719685614,31.714902788646917,14.220690717627004,22.96779675313696
1952-1981,1952,9,12.640617878105608,28.62127439264668,12.4172124351814,20.519243413914037
1952-1981,1952,10,77.84451987335048,22.988954999369984,8.740502687895733,15.864728843632859
1952-1981,1952,11,167.02543167771856,15.077355571546075,3.638654581705752,9.358005076625913
1952-1981,1952,12,240.94189323861553,11.505356530975899,1.8795687940475791,6.69246266251174
1953-1982,1953,1,246.4148486674995,11.04396417225968,1.420402401641886,6.232183286950782
1953-1982,1953,2,171.43654190211063,12.781520622160473,1.991138425745784,7.386329523953128
1953-1982,1953,3,180.46548962486136,15.059498700680024,3.1359434342613945,9.097721067470708
1953-1982,1953,4,78.28853805348166,19.401159989206437,5.591386929339158,12.496273459272798
1953-1982,1953,5,38.20641329481188,23.443082150349753,8.520577393268981,15.981829771809366
1953-1982,1953,6,12.44609721923693,28.764323252181587,12.291986419499292,20.52815483584044
1953-1982,1953,7,1.1091703359086282,32.82416807734908,15.306843681745654,24.065505879547366
1953-1982,1953,8,1.2624134606614268,31.650131866334206,14.192601392278602,22.921366629306405
1953-1982,1953,9,11.805468960427119,28.73203171400998,12.523032604909105,20.62753215945954
1953-1982,1953,10,78.97856002964983,22.80329437860341,8.624384163218048,15.71383927091073
