Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC)
1915,1,1,1.0559381403379267,11.257728411211366,2.3777079761218833
1915,1,2,0.28377751550141683,13.172431652417002,2.119670297553707
1915,1,3,7.0402753684022015,10.552692746837735,3.3171237654572683
1915,1,4,8.035273313992057,9.677655067961844,2.881914892277486
1915,1,5,3.835139312650918,8.495091541014869,3.6601446057892715
1915,1,6,14.212079902757415,8.131802148312671,4.274835054965795
1915,1,7,5.547352795415534,8.522665934962179,2.5531408156254196
1915,1,8,25.15391753290241,8.453189941952305,4.018105468339671
1915,1,9,2.9344672271486334,9.378732011625589,-1.025545716754818
1915,1,10,0.11552036258821693,10.484229046532406,-1.0108965585488698
1915,1,11,7.984911329283544,9.591474980981689,1.442059795871376
1915,1,12,11.164020323887973,8.048696787037944,2.2104335292644364
1915,1,13,18.699570594812638,8.650169163815741,4.292000947518678
1915,1,14,15.21481877058872,9.751795160243262,3.674048925198328
1915,1,15,4.078328484213232,8.393897826030665,-1.2805312786113707
1915,1,16,0.04371639315207093,9.661689181911438,-2.16475715922564
1915,1,17,0.11999566265998107,11.612899192751149,-1.7513303902482615
1915,1,18,0.0,12.915019928244089,-1.5164107030805518
1915,1,19,0.20078201460277675,14.433867156921968,-0.7470036701419016
1915,1,20,0.0004335275507595196,13.930733842272618,-0.5107262104625585
1915,1,21,0.003386563095365949,13.247909132637593,0.9028344296135525
1915,1,22,0.6029377972405995,12.991059780004854,-0.5927405004429742
1915,1,23,0.1512439123979254,12.293956341395521,-2.9002928111323025
1915,1,24,2.3504110503049316,9.776469109074736,1.2653839190362732
1915,1,25,12.068805676192719,9.734913167420508,3.6328444698850113
1915,1,26,3.066679259874526,10.310317355591698,2.9597200496083134
1915,1,27,20.794419746947884,9.271737570250096,5.802322545918462
1915,1,28,21.992455406250446,12.101619658982234,7.244171562266119
1915,1,29,17.515872457282367,11.979457493373111,7.899965015462109
1915,1,30,17.31028623918726,10.430019622019259,7.12337413363012
1915,1,31,17.642058447529543,9.427859507210213,6.687410463338766
1915,2,1,54.61110030161784,8.43943414699616,5.326164716759103
1915,2,2,55.624838719910926,7.495666368227525,4.302751620936004
1915,2,3,16.921527166206868,6.859470412573162,1.880017278285751
1915,2,4,4.326211099807865,8.119790006811044,2.0035399325776426
1915,2,5,0.28899577525791914,11.325214615229937,-0.23579095056849303
1915,2,6,0.038368900733749406,11.410234855948973,1.6629174705502725
1915,2,7,7.385978682401257,10.98794007078906,3.4142050862978905
1915,2,8,42.767508359309005,9.841611102184478,4.153281847737014
1915,2,9,39.04287081869008,7.704202338100784,3.197303238571634
1915,2,10,16.61567174631479,7.681624145077886,2.121179706873791
1915,2,11,5.201031985904684,7.99484993697881,1.0029865623337897
1915,2,12,0.26006641637430056,10.004513541791358,-1.4281980436881663
1915,2,13,0.14205564620964356,11.63696094431912,-2.0309897422091145
1915,2,14,0.04617738097512195,13.237164943907285,-1.6358335793594259
1915,2,15,2.9360128887235777,13.955259192684062,1.0550175603783727
1915,2,16,26.74962909355801,10.862945899027551,5.2488118721207195
1915,2,17,24.618697056573154,10.472296537840304,5.979679656382956
1915,2,18,7.87948918166049,10.921507030233203,5.459724440045788
1915,2,19,1.4141570046968226,11.326236824066818,2.3886637838095095
1915,2,20,12.685705628387684,8.85288760226143,1.557961005913397
1915,2,21,3.5825437743763056,6.861125381072328,-2.5226433115204094
1915,2,22,11.533941127108394,7.410453132836197,2.27656189100912
1915,2,23,6.177485510789193,8.620880128192567,4.058048648813585
1915,2,24,8.568885032149959,9.995260456459654,5.141387125847
1915,2,25,1.4353287247858886,12.382379943717192,4.156421260369039
1915,2,26,0.2778515682914726,13.639817006823161,2.94765117623112
1915,2,27,3.4033687192307,11.395121772042927,2.534004343157632
1915,2,28,13.468403795917604,9.626783170510695,3.3234461908753428
1915,3,1,2.103747321800921,8.85533524329514,1.747907080817687
1915,3,2,0.7162056198567897,12.472441693461123,1.1901429995841624
1915,3,3,0.009531281001971474,14.314449662433356,0.9331683619293069
1915,3,4,0.026886938895029078,13.102324259893575,3.8833209095829275
1915,3,5,0.03450066865431448,13.739941433832728,0.31401793018041196
1915,3,6,0.045613825750213846,13.402824929517632,1.8276970101979104
1915,3,7,0.0076351381482563496,14.225327267796702,1.3314455429821832
1915,3,8,0.031368932552690965,15.398081133974921,1.0404309143432238
1915,3,9,1.159885451424899,11.51549367124485,3.63040888350992
1915,3,10,0.8638762938624456,13.667855313110845,3.9553399031921623
1915,3,11,0.07788060013124368,13.630114909697628,2.2761171562497893
1915,3,12,2.0585232771520547,11.687198989220217,5.795303150386756
1915,3,13,2.652523727283032,13.265651501425628,6.511422465574984
1915,3,14,0.210000085580074,17.26315733626472,6.176552543595058
1915,3,15,6.051535660358373e-05,19.856946687909492,4.8126533777583305
1915,3,16,0.00423017735146435,21.604287185424713,4.362017864224165
1915,3,17,0.03249148452754678,18.892629192106913,5.330676178186417
1915,3,18,0.09035068970631303,18.706903492130657,4.273907924466336
1915,3,19,0.0,20.84227101729796,3.884243020289288
1915,3,20,0.0,22.694562555598317,4.479678710537916
1915,3,21,0.0,24.01491276781837,4.930936758498672
1915,3,22,0.0,24.22944534451614,5.160317638475656
1915,3,23,1.420901812067398e-06,22.539215221864758,5.902683953542608
1915,3,24,0.22061655261392132,20.46422455948928,5.653587623646441
1915,3,25,0.053929012353321024,16.540478823887284,6.173621763822221
1915,3,26,5.730808386373372,12.178087630407642,7.369556711294756
1915,3,27,14.502828839095557,13.212389887435164,7.444818317806523
1915,3,28,38.948796125950025,10.946702392921164,6.200287619295636
1915,3,29,16.948964959507514,11.141276403741756,4.9306340612965895
1915,3,30,4.055414685924042,10.951440222544964,5.292834202719301
1915,3,31,1.8075868244938287,14.259777293559516,6.450978937041245
1915,4,1,0.5766620767241589,17.596307286382935,6.029590501043356
1915,4,2,1.0129210650415772,16.180134853252895,7.421468675687097
1915,4,3,1.3307208561519654,15.610351784926097,6.31165633514606
1915,4,4,1.5711412247069427,13.893127767361062,5.019811745843406
1915,4,5,2.0217219249478546,13.82957338408356,3.7299413259382823
1915,4,6,2.190262059088391,13.126266369070464,3.787730566525683
1915,4,7,5.59227455905728,12.795874288277638,5.376142536615383
1915,4,8,0.473565920042783,15.332538032845022,2.1264103697088483
1915,4,9,0.27184178941517084,19.543992532856198,3.8419613634277034
1915,4,10,0.0,20.153782476954472,5.459771365165302
1915,4,11,0.010183375623265944,20.111847193379123,5.624114994917858
1915,4,12,1.9150231229031822,17.16321922908464,6.02373027827732
1915,4,13,2.535317009668957,13.323190578857403,3.787314993150026
1915,4,14,0.5817886341530834,17.110686416710497,3.6621356816212502
1915,4,15,0.008921511367906799,21.79042526514393,4.913842270565356
1915,4,16,0.0,21.694934790830057,6.0184287850357014
1915,4,17,0.00021063952727166013,22.227435555274134,6.536944215981057
1915,4,18,0.13345866685141713,22.280681792714013,6.6544192604998305
1915,4,19,0.0773896834007834,21.61010179962482,7.513269290940234
1915,4,20,0.2589338158879852,17.91457831776287,6.802385075510399
1915,4,21,1.606917363710722,14.317736123759431,6.936856035086688
1915,4,22,3.721847613003822,12.939631566505092,5.753324765722375
1915,4,23,1.2082306165145302,11.68994542966186,5.724722659007293
1915,4,24,3.280849235327689,12.84386851996608,4.274188757994023
1915,4,25,3.6903434013505376,11.608366540101716,5.705635845126628
1915,4,26,0.887838893499132,18.01058858279005,5.694746349099683
1915,4,27,0.13830320279389888,18.78058536209123,7.660413414063792
1915,4,28,0.9094244582038067,21.593040810219968,7.04479246563629
1915,4,29,10.84126292268069,14.922576247508424,5.175798628097988
1915,4,30,7.077437442784244,8.737230935134919,1.5268681674869686
1915,5,1,3.782632437212464,7.477057857879686,2.291363823333217
1915,5,2,2.2728076238990846,9.874657425905301,1.469829601342002
1915,5,3,3.2517388032589154,11.714034623429113,3.0734533598589286
1915,5,4,5.036126954153694,13.059491409208153,5.42452503017237
1915,5,5,2.8587991719930104,15.440315984865293,5.692615313351165
1915,5,6,0.2809493843676165,17.17897085068953,5.580349732693683
1915,5,7,0.2727585479449303,18.391758132234255,7.544705493997209
1915,5,8,2.146648195597765,15.978673888378069,8.115991141257648
1915,5,9,24.77826753404028,12.969655055978238,9.147446954306824
1915,5,10,27.724583346328128,14.477529205785975,9.556517426541262
1915,5,11,24.438070959198384,13.73552392710599,10.222793266849887
1915,5,12,19.271849992317442,14.84420785029249,8.86333212070733
1915,5,13,8.795233432609741,14.030698744331733,6.776065443129728
1915,5,14,1.7517673562905505,15.431929055389773,5.92509815895207
1915,5,15,0.13054684382839546,20.614055419736328,6.353625301626413
1915,5,16,1.2197433964230446,19.34365742256542,8.937419802322903
1915,5,17,24.740988630010996,14.77102988902392,8.703942610940834
1915,5,18,10.802000206979649,13.919867065265027,7.57098358330136
1915,5,19,4.837000835249355,15.129010281924648,5.855681607662468
1915,5,20,0.4019064976308993,14.932202981351173,5.1156362834755456
1915,5,21,0.6855648674326118,16.416574788260036,7.449992375161028
1915,5,22,0.22869812298290862,18.355826584880074,6.07061255383606
1915,5,23,2.9524387987677514,14.957601466575525,8.181154209247545
1915,5,24,9.17212963749937,13.235245411834548,7.375879168515265
1915,5,25,1.745868488642482,18.667331033268976,6.000371155780694
1915,5,26,0.025309850025308774,23.58299913695006,9.493843850516463
1915,5,27,0.0189791576565323,26.933680349095162,10.5555502746936
1915,5,28,0.13985848212055693,24.585189055142735,11.654803652262675
1915,5,29,0.0001265579688263111,24.507742007437987,9.246551366432364
1915,5,30,0.0,24.824876523856872,10.014302660209777
1915,5,31,0.016328911694024242,25.216470614632414,10.72510481177384
1915,6,1,0.27544888113550103,24.91586659431509,11.556038753580049
1915,6,2,1.279135715847259e-06,24.366831489096903,10.225624603320394
1915,6,3,0.8738503817813621,24.625482455324658,10.440945098897183
1915,6,4,0.22111436000618648,26.908412802933306,11.01191870914183
1915,6,5,0.25649588214943353,28.84635708328377,11.811538886389389
1915,6,6,1.7686442408423177,29.487990255416836,13.014409063182947
1915,6,7,0.49911136391454164,30.299532300576235,13.737845994824836
1915,6,8,2.7594896673423928,29.751093683309886,13.531474067049077
1915,6,9,0.15733671992131068,28.147580766986767,12.04557942994569
1915,6,10,0.06518303675047928,24.271371267080795,9.752618522379112
1915,6,11,0.376872482748414,21.810121593487985,7.300977720130245
1915,6,12,1.20295307602524,23.495643879180907,8.145912414708928
1915,6,13,1.209882850401625,26.23012965351824,9.15129298826801
1915,6,14,0.02843401198914289,26.739559205947693,10.273156407156707
1915,6,15,1.4821216889997442e-06,26.900754378562425,10.057199257400542
1915,6,16,0.09252640140017172,26.513576244458445,9.649221525138396
1915,6,17,7.410608444998721e-07,26.44066461076206,10.561378313261706
1915,6,18,0.00030724339203219107,24.710111117898695,10.315005218153118
1915,6,19,5.380748713473867e-07,24.58506862237315,9.358926922860432
1915,6,20,1.279135715847259e-06,26.775281859215962,9.060352748367219
1915,6,21,9.440468176523575e-07,28.022304620455234,9.880923956802313
1915,6,22,0.0003727568255800924,28.067438900062676,11.007304927048128
1915,6,23,8.119438926099416e-07,27.63883556301949,11.093307092338243
1915,6,24,0.0636038864001275,24.908056813834857,9.326494109052701
1915,6,25,0.21011075675632448,24.15593113901074,8.57481803393192
1915,6,26,5.380748713473867e-07,26.575952071455813,8.623987710244839
1915,6,27,1.2486295672149499,29.262989566708384,11.098616541606695
1915,6,28,1.7574032102635964,31.6222228684167,13.01312989283912
1915,6,29,0.388829139240853,32.329198235333514,13.8837482755788
1915,6,30,0.8738507877533084,32.90529957444002,14.441977049805022
1915,7,1,0.1981312310331067,31.13186192897046,16.492619565798275
1915,7,2,0.12266730940447791,30.897037295464347,15.780808408042475
1915,7,3,0.11981340474645431,29.98386915590472,15.301297281432339
1915,7,4,0.14551087005046656,28.51973915518195,14.060181246660612
1915,7,5,0.06323407903270155,24.82025292602378,12.748041816052153
1915,7,6,1.8779362943241782,23.295203155198717,12.822826102897317
1915,7,7,0.19197003343586513,26.516889829522423,12.389934782076914
1915,7,8,0.016250991389293964,27.375579398760433,14.015233480487957
1915,7,9,0.5496124512832674,28.88800109484687,16.084302537352187
1915,7,10,8.733756645140997e-05,29.461167629865738,15.544315924837933
1915,7,11,0.00010086488393859353,30.299010241890677,16.15488359573659
1915,7,12,0.00010489166004278986,29.485484573894173,16.587184390985488
1915,7,13,7.171547846791068e-05,28.36199177228027,15.08258081521851
1915,7,14,7.984029116821887e-05,28.554834229814098,13.330276681466541
1915,7,15,8.439661905244702e-05,29.716922254054346,13.853587384109016
1915,7,16,9.085885837241644e-05,30.86144567658644,14.540057982533336
1915,7,17,0.0003118020828713689,31.19600883402647,13.702424952667874
1915,7,18,9.116300553675813e-05,31.778360075326468,14.009029055771586
1915,7,19,9.667594123765088e-05,32.90698137411643,14.963731942345227
1915,7,20,0.002360740398111556,34.1039770927744,17.10986205759334
1915,7,21,0.690491428879341,35.473340055016536,19.09039443170916
1915,7,22,0.4046005167410395,36.12699825437221,19.4690401494323
1915,7,23,0.27596423215788124,35.5942401084098,19.628739923924687
1915,7,24,0.29618001309780967,35.8973715522637,19.256133829436475
1915,7,25,0.00010200004844030685,34.79030848164045,18.613445276436238
1915,7,26,8.838257262937229e-05,31.629062488595018,15.8625500802186
1915,7,27,9.897204747775246e-05,28.76007502691302,14.047085471776043
1915,7,28,0.12319433596175107,27.328085855181342,13.646870384329235
1915,7,29,0.213712703309559,26.68686065459902,13.429646829910537
1915,7,30,0.2240374066792431,26.108511487905776,13.562053807039536
1915,7,31,7.272050208489728e-05,29.091449454386787,13.110482248225246
1915,8,1,0.016228825293259495,32.96701062946124,15.59600650793576
1915,8,2,0.0019988777845906056,32.863527681165785,16.350650619574765
1915,8,3,1.2917078554662971e-05,32.88226766855412,15.637763106189146
1915,8,4,1.4955031117872535e-05,32.40138129368901,14.739448710589686
1915,8,5,2.0160213032234075e-05,31.917203173689767,13.792954700457358
1915,8,6,1.9754241085929104e-05,30.64220062767197,13.837459262644483
1915,8,7,1.305884465088311e-05,30.196308070262248,13.398024319836848
1915,8,8,1.5025914165982607e-05,32.24079176050043,13.748222197027268
1915,8,9,1.5563989037329994e-05,33.77733268051317,14.82571670807199
1915,8,10,9.194018329301176e-06,32.7716397228812,14.990566448385689
1915,8,11,1.5899077935524894e-05,31.855484187158673,14.909602344455669
1915,8,12,1.2043914785120683e-05,31.995181936823908,14.54278098319934
1915,8,13,0.05194976098231949,31.3197160498926,15.299238767653048
1915,8,14,0.026690171160495626,30.834535844980596,15.71175397572632
1915,8,15,0.11737845803897652,31.051710562531547,16.09790902283679
1915,8,16,0.007273951328863762,30.942187994457267,15.617601839930659
1915,8,17,1.2043914785120683e-05,32.239519140900704,14.814517578578018
1915,8,18,1.5087134042914953e-05,34.17918036965064,14.962928129887489
1915,8,19,1.2855858677730626e-05,35.38572150313357,15.32627236460354
1915,8,20,1.4813265021652397e-05,35.1174809725246,15.572791007183469
1915,8,21,1.617294695678745e-05,33.80650085615219,15.748165850408222
1915,8,22,0.044385241821852855,32.877970515338525,15.273801421610568
1915,8,23,0.2786309826599559,30.957656446685377,15.584665850762416
1915,8,24,0.18694543600071153,30.569129229453786,16.201275680705105
1915,8,25,0.3276351585623096,32.03537622516237,15.905093396006368
1915,8,26,1.2176017710163099e-05,33.03330801379749,16.42221154185015
1915,8,27,1.2784975629620556e-05,35.08202316796286,15.99837593335732
1915,8,28,1.1637942838815712e-05,37.23443102350627,16.797551778606795
1915,8,29,1.2784975629620556e-05,37.4376919468731,19.12869916738366
1915,8,30,0.04098929484033562,35.605045199857685,19.26422374754776
1915,8,31,0.08097037884970723,32.77643575416395,17.593014447797042
1915,9,1,0.379746874479939,30.502724060384548,16.359951417088745
1915,9,2,0.0001343641070980031,31.061452017065115,14.55752594435244
1915,9,3,0.0,30.893496934845665,14.157479662774644
1915,9,4,0.0,31.23906398460813,13.842831571538753
1915,9,5,0.0,30.7421067401525,14.206064164978397
1915,9,6,0.0,30.59561851295744,14.087490012223176
1915,9,7,0.0,30.048593365637185,12.98030612884843
1915,9,8,0.0,31.02137320474681,12.249402621787446
1915,9,9,0.0,30.040476928364097,12.301548154681843
1915,9,10,0.0,25.84687439603025,11.9092759637036
1915,9,11,0.0,24.314516300230217,9.389027869815507
1915,9,12,0.01193826579976057,22.064395091006293,8.505059336845491
1915,9,13,0.5674441368009177,19.081950205651104,8.266638280785088
1915,9,14,0.07476603644414406,23.99281831448484,7.838927349923367
1915,9,15,0.0,27.437050031228267,9.0557903092193
1915,9,16,0.0,29.716270767366467,10.455885183482568
1915,9,17,0.0,30.86054686848742,11.677485454128501
1915,9,18,0.0,31.84926961125035,12.52591881615295
1915,9,19,0.0,31.622287840195757,12.365363089549172
1915,9,20,0.0,31.168003526490217,11.719907206777165
1915,9,21,0.0,29.682178436499406,10.838905252613609
1915,9,22,0.0,29.467787983713304,10.49989933986434
1915,9,23,0.01490973356717154,26.675346698993476,10.673812948271411
1915,9,24,0.44367310673575217,23.916799767265278,9.547961446410216
1915,9,25,0.25289314861934625,23.282967633936362,9.652713702578428
1915,9,26,0.0,21.498609695484372,9.673483696956053
1915,9,27,0.0,23.29839227490593,7.981669355231283
1915,9,28,0.0,26.83826372499744,8.352237779620538
1915,9,29,0.0,29.351996472907814,8.873536118284216
1915,9,30,0.0,30.089931600274856,9.912907983302143
1915,10,1,0.0,28.338218577146574,9.712661428094329
1915,10,2,0.0,26.81866695587419,8.90677285170419
1915,10,3,0.0,27.50473838954381,7.2125069180091845
1915,10,4,0.0,28.641563765250254,8.733318299426365
1915,10,5,0.0,29.906359404495138,8.830889599163742
1915,10,6,0.0,30.610453766242664,8.451489075313592
1915,10,7,0.0,30.43300773069938,8.878155111661515
1915,10,8,0.0,29.289580553239357,8.284782104604341
1915,10,9,0.0,24.820271409465246,7.6064822195960655
1915,10,10,0.0,22.54608391434084,6.581196531098765
1915,10,11,0.0,22.852759489801407,5.030824265083402
1915,10,12,0.0,23.739764572205328,4.825701956053491
1915,10,13,0.0011656181315378331,21.362604716979554,7.546056290348715
1915,10,14,0.0057584125471887475,22.25262261366629,6.524153402190144
1915,10,15,0.0,22.836299578953422,6.548029402565222
1915,10,16,0.0,23.989463591275772,5.71326249780577
1915,10,17,0.0,25.095354467974126,6.54266318620787
1915,10,18,0.0,25.460800677870402,6.713417333733983
1915,10,19,0.0,26.447010547393866,6.79669756556547
1915,10,20,0.0,27.723977015154308,6.784836873868608
1915,10,21,0.0,25.549694371286247,7.5226280703025505
1915,10,22,0.17875341130957764,23.17683798812607,6.587310794688612
1915,10,23,7.251232196750417,18.912089678688552,8.576955451033266
1915,10,24,0.0009506746365811009,21.082554460688446,4.6015763422310245
1915,10,25,0.0,24.5573544610098,6.685276107522339
1915,10,26,0.0,25.410019521047023,6.94513664625987
1915,10,27,0.0,26.15449163543102,7.075889998082244
1915,10,28,0.0,27.333060766788886,7.056923791215065
1915,10,29,0.0,26.20811195998973,7.283511004264688
1915,10,30,0.0,23.360515214957125,6.703237905730959
1915,10,31,0.0,23.478272726605326,6.104144683058708
1915,11,1,0.0,22.82251162233437,6.865907886947653
1915,11,2,0.6420594345783636,19.10279843802027,8.210598890271228
1915,11,3,0.006297015663158684,18.651136043876125,8.803331513045
1915,11,4,0.6815603695688476,18.469267962739476,7.47155422911375
1915,11,5,0.0,19.505414148239247,4.393827273845742
1915,11,6,0.0,17.828868674639715,3.8431330263779406
1915,11,7,0.1343541994387916,14.124835950658817,2.8317085384772573
1915,11,8,15.147613950100391,10.66652979942067,3.8267703859307973
1915,11,9,18.814098912563345,8.357485336933497,1.922796875729984
1915,11,10,1.833813176172944,8.219653696141858,-1.6594043921971329
1915,11,11,0.07390112733931191,9.52041784477562,-2.8805784258129012
1915,11,12,0.07119286152395911,9.823880973659175,-1.1708906197205347
1915,11,13,0.0,10.496458367309744,-3.342193565525937
1915,11,14,0.004906710201476864,11.50723263115101,-1.7346759124306226
1915,11,15,0.8686261486429904,11.776552360782478,0.34902856930513027
1915,11,16,3.704078758425587,12.506875999581295,3.8012782337907787
1915,11,17,0.13052649920770226,13.983676580387254,2.8084435507711616
1915,11,18,0.0030955774325507226,16.737763802285635,3.4933862194074616
1915,11,19,0.006145032707430907,16.47623270269455,4.741399784789588
1915,11,20,0.3313149111294571,15.93081701123007,6.308918140680711
1915,11,21,0.1399663746675657,16.120347629773796,6.296090075715835
1915,11,22,0.27119176150844576,17.33522536999529,4.246776562885229
1915,11,23,5.568986486231117,12.961261459880882,5.328839115784706
1915,11,24,5.6607399633477495,8.055125667552613,1.348821168578236
1915,11,25,6.715945041334532,9.671157992812077,3.0855537837984777
1915,11,26,7.1069602198432875,10.514911432399025,4.312491993282372
1915,11,27,0.7023075902508313,10.363583918938355,0.7871581259751054
1915,11,28,0.17680983028347588,10.657009443978238,1.1235671093422135
1915,11,29,0.43100339780754154,12.436577206109913,4.712758692324802
1915,11,30,0.09837483299333662,14.149396298162726,2.905622879928035
1915,12,1,0.9225269436421686,13.504313058219825,1.876463229852429
1915,12,2,8.529148295997278,12.354256327646867,5.896361671315033
1915,12,3,53.39081178098507,10.942188103089078,6.693033776107793
1915,12,4,30.739587874626572,10.06811540983876,3.0160846275262294
1915,12,5,3.502379845200152,9.008957632299683,2.1006575112803114
1915,12,6,6.758824508801838,12.286565418726308,4.474634067552629
1915,12,7,0.19992658413113834,13.727190157898523,2.608139152287568
1915,12,8,1.5011954409345287,12.63853954661473,2.992447811897265
1915,12,9,9.762341503400293,11.386046911859264,4.152872027472949
1915,12,10,1.169986493715967,9.407113372964089,1.6013650723436716
1915,12,11,3.8567234824921024,9.495950797494713,2.8422062771837773
1915,12,12,10.833489552690924,8.822569809311489,2.8877730109225968
1915,12,13,56.14395275405423,8.383075525409588,4.567327111096929
1915,12,14,19.63185602419772,8.090821916024268,2.0411518404437783
1915,12,15,0.8566261211260398,7.16933070515136,-1.97844674859733
1915,12,16,0.12661735490546422,8.363753591715566,-2.9595344050357983
1915,12,17,0.3642939441828811,8.808211478220382,0.3802673886079874
1915,12,18,0.15883637027459233,9.479661034818099,-0.7141779507023045
1915,12,19,0.03289043588225848,9.761554456865898,-2.55592013825678
1915,12,20,1.5178837366172542,10.524764331473243,1.5701772102769496
1915,12,21,0.15247048055750975,13.576066353995238,2.320479566737304
1915,12,22,0.06055900822068869,13.566831985564093,3.8334037126631144
1915,12,23,0.03044591782160285,13.462824167149876,2.9604030969070494
1915,12,24,0.08686109688002577,13.813521027183777,2.0811275424878595
1915,12,25,0.29698204069873246,10.46650195448465,2.774666220820617
1915,12,26,0.26996331059918893,8.247022520780384,-1.2187978008972689
1915,12,27,0.05470923437013631,9.405781030456842,-2.570856217005271
1915,12,28,1.051401709675923,7.058310258076496,0.49472880345385495
1915,12,29,1.856823490581754,3.1336135213324057,-5.862502434423207
1915,12,30,0.16624264064210498,1.652011907683642,-6.165508130376704
1915,12,31,0.20252454258269204,1.5744060610513388,-7.820754897146868
1916,1,1,12.850480829513861,3.6005517570821755,-0.5962705596976074
1916,1,2,28.99021133176696,6.909314569896873,1.103396188687842
1916,1,3,68.3403810792845,8.127507300173832,4.875473536788124
