"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1138.79499270147,10.6311807815906,0,0,0,"FGOALS-G3","r3i1p1f1","ssp245","Hist(1992-2021)",2006
1106.47787275433,10.8606889564577,0,0,0,"FGOALS-G3","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1138.00033947926,10.864252858311,0,0,0,"FGOALS-G3","r3i1p1f1","ssp585","Hist(1992-2021)",2006
1084.66302416895,10.876174841815,0,0,0,"FGOALS-G3","r4i1p1f1","ssp245","Hist(1992-2021)",2006
1072.34612745362,10.9619687690463,0,0,0,"FGOALS-G3","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1109.0618875621,10.8838740144352,0,0,0,"FGOALS-G3","r4i1p1f1","ssp585","Hist(1992-2021)",2006
918.439387005244,10.915667958248,0,0,0,"FGOALS-G3","r5i1p1f1","ssp370","Hist(1992-2021)",2006
1055.15006420595,10.7247362826729,0,0,0,"GFDL-ESM4","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1016.86688867479,10.7713063948098,0,0,0,"GFDL-ESM4","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1063.9918356347,10.7421238178063,0,0,0,"GFDL-ESM4","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1126.56105993263,10.898083512347,0,0,0,"INM-CM5-0","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1088.87614818441,10.9040893695709,0,0,0,"INM-CM5-0","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1109.74616963182,10.9052976423998,0,0,0,"INM-CM5-0","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1087.29351475171,10.8168307598923,0,0,0,"INM-CM5-0","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1043.052511828,10.7150441469554,0,0,0,"INM-CM5-0","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1035.58325842294,10.6978395679476,0,0,0,"INM-CM5-0","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1048.61100029191,10.6802459140417,0,0,0,"INM-CM5-0","r5i1p1f1","ssp370","Hist(1992-2021)",2006
1087.43262140441,10.9964161691754,0,0,0,"IPSL-CM6A-LR","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1091.15507981598,11.0517503106209,0,0,0,"IPSL-CM6A-LR","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1055.49355456022,11.0610897686433,0,0,0,"IPSL-CM6A-LR","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1115.05187556326,11.0512905749772,0,0,0,"IPSL-CM6A-LR","r2i1p1f1","ssp245","Hist(1992-2021)",2006
1078.01413634986,10.9766839063366,0,0,0,"IPSL-CM6A-LR","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1124.19801818357,10.8796624869381,0,0,0,"IPSL-CM6A-LR","r2i1p1f1","ssp585","Hist(1992-2021)",2006
1040.02553519577,11.0506818667849,0,0,0,"IPSL-CM6A-LR","r3i1p1f1","ssp245","Hist(1992-2021)",2006
1074.4120916842,11.0237751115967,0,0,0,"IPSL-CM6A-LR","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1050.52203037909,11.0735603842774,0,0,0,"IPSL-CM6A-LR","r3i1p1f1","ssp585","Hist(1992-2021)",2006
1048.98639559199,11.057059571208,0,0,0,"IPSL-CM6A-LR","r10i1p1f1","ssp370","Hist(1992-2021)",2006
1074.65251144211,10.848836513738,0,0,0,"IPSL-CM6A-LR","r4i1p1f1","ssp245","Hist(1992-2021)",2006
1044.13805567398,10.9120116043611,0,0,0,"IPSL-CM6A-LR","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1048.97413106352,10.8764541104012,0,0,0,"IPSL-CM6A-LR","r4i1p1f1","ssp585","Hist(1992-2021)",2006
1025.85356228732,11.0458177743229,0,0,0,"IPSL-CM6A-LR","r5i1p1f1","ssp245","Hist(1992-2021)",2006
984.514708700165,11.0286523825634,0,0,0,"IPSL-CM6A-LR","r5i1p1f1","ssp370","Hist(1992-2021)",2006
1035.61575507007,10.9813724538005,0,0,0,"IPSL-CM6A-LR","r6i1p1f1","ssp370","Hist(1992-2021)",2006
1064.67580290994,11.0225126806645,0,0,0,"IPSL-CM6A-LR","r7i1p1f1","ssp370","Hist(1992-2021)",2006
