mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
IPSL-CM6A-LR_r3i1p1f1_ssp370,IPSL-CM6A-LR,r3i1p1f1,ssp370,0.6946768155570333,-285.22366612246356,2.3,4.0,2.7,1098.5725504671468,1123.5809158272,1128.4436535360992,1142.3371898472399
IPSL-CM6A-LR_r4i1p1f1_ssp370,IPSL-CM6A-LR,r4i1p1f1,ssp370,-0.2994714824107332,1744.980401514356,-0.9,-1.6,-1.1,1148.4332085521755,1137.6522351853891,1135.555934808514,1129.5665051602991
IPSL-CM6A-LR_r5i1p1f1_ssp370,IPSL-CM6A-LR,r5i1p1f1,ssp370,0.8865155639554072,-687.7484099946098,3.0,5.2,3.5,1078.1905934045612,1110.1051537069561,1116.310762654644,1134.041073933752
IPSL-CM6A-LR_r6i1p1f1_ssp370,IPSL-CM6A-LR,r6i1p1f1,ssp370,0.9740857242619605,-886.1433921595765,3.3,5.8,4.0,1054.2353705702487,1089.3024566436793,1096.121056713513,1115.6027711987524
IPSL-CM6A-LR_r7i1p1f1_ssp370,IPSL-CM6A-LR,r7i1p1f1,ssp370,-0.8043557558370062,2703.3651964824985,-2.6,-4.6,-3.1,1101.0885308551822,1072.1317236450498,1066.5012333541908,1050.4141182374506
IPSL-CM6A-LR_r8i1p1f1_ssp370,IPSL-CM6A-LR,r8i1p1f1,ssp370,0.13546737318103247,850.8206067053286,0.4,0.8,0.5,1120.6716140819453,1125.5484395164624,1126.4967111287297,1129.2060585923502
IPSL-CM6A-LR_r9i1p1f1_ssp370,IPSL-CM6A-LR,r9i1p1f1,ssp370,-0.8681732286657966,2846.3147830709477,-2.8,-4.9,-3.3,1116.9137115686808,1085.6594753367121,1079.5822627360517,1062.2187981627355
IPSL-CM6A-LR_r1i1p1f1_ssp585,IPSL-CM6A-LR,r1i1p1f1,ssp585,-2.379232294437404,5890.914236490176,-7.4,-13.0,-8.9,1151.4835059708676,1065.8311433711215,1049.1765173100594,1001.5918714213112
IPSL-CM6A-LR_r2i1p1f1_ssp585,IPSL-CM6A-LR,r2i1p1f1,ssp585,-1.150933587293804,3444.128210115853,-3.6,-6.3,-4.3,1151.4685042265955,1110.0348950840184,1101.9783599729622,1078.9596882270857
IPSL-CM6A-LR_r3i1p1f1_ssp585,IPSL-CM6A-LR,r3i1p1f1,ssp585,0.5645442535429078,-44.82747573015058,1.9,3.3,2.2,1079.7446773273218,1100.0682704548665,1104.0200802296667,1115.310965300525
