mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
EC-Earth3_r4i1p1f1_ssp585,EC-Earth3,r4i1p1f1,ssp585,-1.43715828296212,4008.307969145707,-4.5,-7.9,-5.4,1145.4886694851639,1093.750971298528,1083.6908633177927,1054.9476976585506
EC-Earth3-Veg_r1i1p1f1_ssp245,EC-Earth3-Veg,r1i1p1f1,ssp245,0.4412919421002586,267.2420957902291,1.4,2.4,1.7,1146.2956444539443,1162.1821543695537,1165.2711979642554,1174.0970368062606
EC-Earth3-Veg_r2i1p1f1_ssp245,EC-Earth3-Veg,r2i1p1f1,ssp245,-0.36865339909857675,1864.0829986589638,-1.2,-2.1,-1.4,1129.725427654599,1116.45390528705,1113.8733314933602,1106.5002635113885
EC-Earth3-Veg_r3i1p1f1_ssp245,EC-Earth3-Veg,r3i1p1f1,ssp245,0.5605608179138221,-19.278188019701474,1.8,3.2,2.2,1097.3589612646322,1117.5391507095296,1121.4630764349265,1132.6742927932028
EC-Earth3-Veg_r4i1p1f1_ssp245,EC-Earth3-Veg,r4i1p1f1,ssp245,-0.6977196579515478,2530.3838140115695,-2.2,-3.9,-2.6,1140.5262553720863,1115.4083476858307,1110.5243100801697,1096.5699169211389
EC-Earth3-Veg_r5i1p1f1_ssp245,EC-Earth3-Veg,r5i1p1f1,ssp245,-0.27916776404321875,1653.0432439170827,-0.9,-1.6,-1.1,1096.941057942991,1086.891018437435,1084.9368440891326,1079.3534888082681
EC-Earth3-Veg_r1i1p1f1_ssp370,EC-Earth3-Veg,r1i1p1f1,ssp370,0.07980548885654502,1015.5631527778215,0.2,0.4,0.3,1174.5356865800593,1177.4086841788949,1177.9673226008906,1179.5634323780216
EC-Earth3-Veg_r2i1p1f1_ssp370,EC-Earth3-Veg,r2i1p1f1,ssp370,-0.8198454205449325,2800.8550846625653,-2.5,-4.4,-3.0,1167.7230069370598,1138.2085717974423,1132.4696538536277,1116.072745442729
EC-Earth3-Veg_r3i1p1f1_ssp370,EC-Earth3-Veg,r3i1p1f1,ssp370,1.0989567754781289,-1040.3020875701316,3.4,6.0,4.1,1148.8198091823012,1188.3822530995137,1196.0749505278607,1218.0540860374233
EC-Earth3-Veg_r4i1p1f1_ssp370,EC-Earth3-Veg,r4i1p1f1,ssp370,0.10193530977430061,943.440166346981,0.3,0.6,0.4,1146.4953034173877,1150.1649745692625,1150.8785217376826,1152.9172279331688
EC-Earth3-Veg_r1i1p1f1_ssp585,EC-Earth3-Veg,r1i1p1f1,ssp585,-0.5130295663734773,2154.331990513605,-1.6,-2.9,-1.9,1132.3770942976382,1113.908029908193,1110.3168229435787,1100.0562316161092
EC-Earth3-Veg_r2i1p1f1_ssp585,EC-Earth3-Veg,r2i1p1f1,ssp585,0.39823609947084593,396.2223790154003,1.2,2.1,1.4,1189.5086891613255,1203.8451887422757,1206.6328414385716,1214.5975634279887
EC-Earth3-Veg_r3i1p1f1_ssp585,EC-Earth3-Veg,r3i1p1f1,ssp585,-0.622712333592145,2408.254292898322,-1.9,-3.4,-2.3,1167.8113243827693,1145.393680373452,1141.0346940383072,1128.580447366464
EC-Earth3-Veg_r4i1p1f1_ssp585,EC-Earth3-Veg,r4i1p1f1,ssp585,1.0174551311535731,-938.6513847085816,3.4,5.9,4.0,1088.119236549336,1124.7476212708648,1131.8698071889398,1152.2189098120111
FGOALS-g3_r1i1p1f1_ssp245,FGOALS-g3,r1i1p1f1,ssp245,1.1304449929875695,-1178.7616374057964,3.8,6.6,4.5,1073.0847886254421,1113.7808083729944,1121.6939233239075,1144.302823183659
FGOALS-g3_r3i1p1f1_ssp245,FGOALS-g3,r3i1p1f1,ssp245,-2.800194486775484,6771.53574706718,-8.4,-14.8,-10.1,1193.5483294104151,1092.7413278864979,1073.1399664790697,1017.1360767435599
FGOALS-g3_r4i1p1f1_ssp245,FGOALS-g3,r4i1p1f1,ssp245,0.6559038413406532,-150.33067660964934,2.0,3.6,2.4,1156.2297753409318,1179.8423136291954,1184.4336405185798,1197.551717345393
FGOALS-g3_r1i1p1f1_ssp370,FGOALS-g3,r1i1p1f1,ssp370,1.5999326829009206,-2123.071983541282,5.4,9.5,6.5,1063.993920797352,1121.5914973817848,1132.7910261620914,1164.78967982011
FGOALS-g3_r3i1p1f1_ssp370,FGOALS-g3,r3i1p1f1,ssp370,0.07254282049946599,1000.1102748614798,0.2,0.4,0.3,1144.615573296416,1147.2271148343968,1147.734914577893,1149.1857709878823
