period,mvs,window,n_windows,min_window_avg_pr
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,5,61,859.0389237556985
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,10,56,969.6175075409349
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,15,51,996.1782300197752
historical,EC-Earth3-Veg_r3i1p1f1_ssp245,20,46,1000.9533386717227
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,2,64,615.7183462953981
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,5,61,844.1440281080256
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,10,56,876.4268788853093
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,15,51,1004.6085634352324
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,20,46,1022.2587997945826
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,2,64,597.9245488167617
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,5,61,699.0180892577234
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,10,56,861.8975886327222
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,15,51,916.7656563363543
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,20,46,977.2876160333948
historical,EC-Earth3_r1i1p1f1_ssp245,2,64,552.1669611549751
historical,EC-Earth3_r1i1p1f1_ssp245,5,61,844.636894392372
historical,EC-Earth3_r1i1p1f1_ssp245,10,56,946.1078097706843
historical,EC-Earth3_r1i1p1f1_ssp245,15,51,997.4443667579447
historical,EC-Earth3_r1i1p1f1_ssp245,20,46,991.7445095504229
historical,EC-Earth3_r2i1p1f1_ssp245,2,64,605.411112403804
historical,EC-Earth3_r2i1p1f1_ssp245,5,61,733.0938460607358
historical,EC-Earth3_r2i1p1f1_ssp245,10,56,918.087322082048
historical,EC-Earth3_r2i1p1f1_ssp245,15,51,947.1660497257477
historical,EC-Earth3_r2i1p1f1_ssp245,20,46,989.2044856070266
historical,EC-Earth3_r3i1p1f1_ssp585,2,64,643.120273723438
historical,EC-Earth3_r3i1p1f1_ssp585,5,61,789.5737547928577
historical,EC-Earth3_r3i1p1f1_ssp585,10,56,920.5800079190121
historical,EC-Earth3_r3i1p1f1_ssp585,15,51,945.1477234732168
historical,EC-Earth3_r3i1p1f1_ssp585,20,46,958.9534501674898
historical,EC-Earth3_r4i1p1f1_ssp245,2,64,627.0307331950953
historical,EC-Earth3_r4i1p1f1_ssp245,5,61,718.1126672784783
historical,EC-Earth3_r4i1p1f1_ssp245,10,56,869.5210812528614
historical,EC-Earth3_r4i1p1f1_ssp245,15,51,892.8527399818347
historical,EC-Earth3_r4i1p1f1_ssp245,20,46,926.0159340905172
historical,FGOALS-g3_r1i1p1f1_ssp245,2,64,723.4081129926435
historical,FGOALS-g3_r1i1p1f1_ssp245,5,61,797.9223297838573
historical,FGOALS-g3_r1i1p1f1_ssp245,10,56,863.6614891414938
historical,FGOALS-g3_r1i1p1f1_ssp245,15,51,906.6565953888188
historical,FGOALS-g3_r1i1p1f1_ssp245,20,46,961.9724311618495
historical,FGOALS-g3_r3i1p1f1_ssp245,2,64,617.0282779668637
historical,FGOALS-g3_r3i1p1f1_ssp245,5,61,810.0965075806803
historical,FGOALS-g3_r3i1p1f1_ssp245,10,56,1005.8732339119215
historical,FGOALS-g3_r3i1p1f1_ssp245,15,51,1023.3348743326
historical,FGOALS-g3_r3i1p1f1_ssp245,20,46,1021.8936979855716
historical,FGOALS-g3_r4i1p1f1_ssp245,2,64,515.6851805767019
historical,FGOALS-g3_r4i1p1f1_ssp245,5,61,820.4228402583263
