mvs,m,v,s,slope,intercept,r2,pvalue,slope95,intercept95,base,2043,2050,2070,pr_change_2043,pr_change_2070,pr_change_2050
IPSL-CM6A-LR_r4i1p1f1_ssp585,IPSL-CM6A-LR,r4i1p1f1,ssp585,0.6889834836800339,-319.48551055604435,0.6234097216329824,5.29027908674471e-11,0.1830643363874468,376.31879653074594,1073.6390934449842,1098.4424988574656,1103.2653832432256,1117.0450529168263,2.3,4.0,2.8
KACE-1-0-G_r1i1p1f1_ssp245,KACE-1-0-G,r1i1p1f1,ssp245,1.5030038898466245,-1983.628473741896,0.6910985101842817,4.734860194350593e-14,0.33299252474614877,684.5208009330116,1055.4453915279787,1109.553531562457,1120.0745587913834,1150.134636588316,5.1,9.0,6.1
KACE-1-0-G_r2i1p1f1_ssp245,KACE-1-0-G,r2i1p1f1,ssp245,0.32085606756093926,433.0532773789947,0.3277882689899065,0.001611476064111319,0.19590891007045302,402.7229263887277,1081.824245987214,1093.3750644194079,1095.6210568923343,1102.038178243553,1.1,1.9,1.3
KACE-1-0-G_r3i1p1f1_ssp245,KACE-1-0-G,r3i1p1f1,ssp245,1.1215776034054694,-1193.9834911764233,0.7407150094231852,7.131013367300823e-17,0.215501645420212,442.99901037682827,1073.8464229094357,1114.2232166320327,1122.0742598558709,1144.5058119239802,3.8,6.6,4.5
KACE-1-0-G_r1i1p1f1_ssp370,KACE-1-0-G,r1i1p1f1,ssp370,0.020647944541583862,1002.4379343148919,0.016203120970693208,0.8795201693489803,0.2699236976499457,554.8724730292249,1044.1880781779744,1044.9314041814714,1045.0759397932625,1045.4888986840942,0.1,0.1,0.1
KACE-1-0-G_r2i1p1f1_ssp370,KACE-1-0-G,r2i1p1f1,ssp370,-0.5941684974846485,2321.015433026081,-0.28642479620584826,0.00620261656972991,0.4210473780063259,865.532007492814,1119.606731112122,1098.2166652026744,1094.057485720282,1082.174115770589,-1.9,-3.3,-2.3
KACE-1-0-G_r3i1p1f1_ssp370,KACE-1-0-G,r3i1p1f1,ssp370,2.1152112417234052,-3292.208067556221,0.7920317533735378,1.4654817920019126e-20,0.34538414702742815,709.9938148251616,984.7490632085046,1060.896667910547,1075.703146602611,1118.0073714370792,7.7,13.5,9.2
KACE-1-0-G_r1i1p1f1_ssp585,KACE-1-0-G,r1i1p1f1,ssp585,2.2884884476812073,-3619.3786691133882,0.7134139905480347,3.0181753108540714e-15,0.4761958771850382,978.8988011073073,1007.9449720980128,1090.330556214536,1106.3499753483047,1152.1197443019291,8.2,14.3,9.8
KACE-1-0-G_r2i1p1f1_ssp585,KACE-1-0-G,r2i1p1f1,ssp585,0.7765505979392501,-528.6084739930043,0.2911763977572654,0.005363817244694942,0.540499560918149,1111.085579550721,1041.5768350401593,1069.5326565659723,1074.9685107515472,1090.499522710332,2.7,4.7,3.2
KACE-1-0-G_r3i1p1f1_ssp585,KACE-1-0-G,r3i1p1f1,ssp585,1.0191861616125746,-1016.5039445764335,0.7857884859717815,4.6539617405743474e-20,0.16994334159301402,349.3464376990576,1044.2904742041922,1080.9811760222449,1088.115479153533,1108.4992023857847,3.5,6.1,4.2
