mvs,m,v,s,slope,intercept,r2,pvalue,slope95,intercept95,base,2043,2050,2070,pr_change_2043,pr_change_2070,pr_change_2050
EC-Earth3_r2i1p1f1_ssp245,EC-Earth3,r2i1p1f1,ssp245,2.1414958416859546,-3342.75290590614,0.7104341426542983,4.424750327261868e-15,0.44940732521473237,923.8305347414828,987.3516859828605,1064.4455362835552,1079.4360071753563,1122.2659240090752,7.8,13.7,9.3
EC-Earth3_r4i1p1f1_ssp245,EC-Earth3,r4i1p1f1,ssp245,-0.35379954125815277,1822.4013573950208,-0.2971625673215402,0.0044512614130203364,0.24082839475431886,495.0623014444845,1107.0186849710358,1094.2819014857423,1091.8053046969353,1084.7293138717723,-1.2,-2.0,-1.4
EC-Earth3_r1i1p1f1_ssp370,EC-Earth3,r1i1p1f1,ssp370,-0.6872524696386922,2460.34604656183,-0.5589543638134657,1.0303469737250392e-08,0.2159823714428857,443.98722163568704,1070.7215529523944,1045.9804640454013,1041.1696967579305,1027.4246473651567,-2.3,-4.0,-2.8
EC-Earth3_r4i1p1f1_ssp370,EC-Earth3,r4i1p1f1,ssp370,-0.9110852915172589,2932.112093625131,-0.5647438511111776,6.7162378885068665e-09,0.2820470036618253,579.793918781,1089.8976341772334,1057.098563682612,1050.7209666419913,1032.499260811646,-3.0,-5.3,-3.6
EC-Earth3_r1i1p1f1_ssp585,EC-Earth3,r1i1p1f1,ssp585,-0.5751368521317858,2269.7998688187718,-0.45040563974396597,8.41371919648392e-06,0.2415200174480676,496.48404543296965,1106.873153808301,1086.1682271315567,1082.1422691666342,1070.6395321239984,-1.9,-3.3,-2.2
EC-Earth3_r3i1p1f1_ssp585,EC-Earth3,r3i1p1f1,ssp585,-1.0635857406797171,3264.589583358028,-0.5431636388799757,3.178819957421083e-08,0.348295626504594,715.9788388587459,1114.01921570364,1075.7301290391702,1068.2850288544123,1047.013314040818,-3.4,-6.0,-4.1
EC-Earth3_r4i1p1f1_ssp585,EC-Earth3,r4i1p1f1,ssp585,-1.6243708628816764,4402.714917536006,-0.6838861417724653,1.094017656489158e-13,0.36711269087426085,754.6604038078441,1118.2370327892568,1059.7596817255162,1048.3890856853445,1015.9016684277112,-5.2,-9.2,-6.2
EC-Earth3-Veg_r1i1p1f1_ssp245,EC-Earth3-Veg,r1i1p1f1,ssp245,-0.08318554623467374,1282.3615745658608,-0.06990349249951214,0.5126645757542384,0.25148100617013625,516.9604930148279,1114.1604000793504,1111.1657204149024,1110.5834215912596,1108.919710666566,-0.3,-0.5,-0.3
EC-Earth3-Veg_r2i1p1f1_ssp245,EC-Earth3-Veg,r2i1p1f1,ssp245,0.32902027800641526,395.4988627261339,0.22551194883792627,0.03258987270574991,0.3011196690045872,619.0009134914892,1060.7778648551057,1072.6225948633364,1074.9257368093813,1081.5061423695097,1.1,2.0,1.3
EC-Earth3-Veg_r3i1p1f1_ssp245,EC-Earth3-Veg,r3i1p1f1,ssp245,0.8940654331696245,-745.3052964090537,0.5497927372598136,1.9949873373783357e-08,0.2877618695281256,591.5417637604236,1062.4950094599271,1094.6813650540337,1100.939823086221,1118.8211317496134,3.0,5.3,3.6
EC-Earth3-Veg_r4i1p1f1_ssp245,EC-Earth3-Veg,r4i1p1f1,ssp245,0.14956119406755303,763.2952863394834,0.12925156437715143,0.22469113443829258,0.24307746526842497,499.68563510893944,1065.7080207440756,1071.0922237305076,1072.1391520889804,1075.1303759703314,0.5,0.9,0.6
EC-Earth3-Veg_r5i1p1f1_ssp245,EC-Earth3-Veg,r5i1p1f1,ssp245,-0.11681317996728059,1288.9536503136521,-0.07898432412727736,0.4593036011911906,0.3123287051178065,642.0429273738043,1052.757400419811,1048.5521259409886,1047.7344336812178,1045.3981700818722,-0.4,-0.7,-0.5
EC-Earth3-Veg_r1i1p1f1_ssp370,EC-Earth3-Veg,r1i1p1f1,ssp370,-0.40360293232013705,1962.3334466701344,-0.19813536087220684,0.06120564386603583,0.4229759535980475,869.4965112296819,1146.2483175188172,1131.7186119552925,1128.8933914290515,1120.8213327826488,-1.3,-2.2,-1.5
EC-Earth3-Veg_r2i1p1f1_ssp370,EC-Earth3-Veg,r2i1p1f1,ssp370,-0.6483685339706016,2420.5871654047205,-0.45977115274188274,5.145287275274442e-06,0.2652964059462741,545.3603152846549,1109.5859897161642,1086.2447224932225,1081.7061427554283,1068.7387720760162,-2.1,-3.7,-2.5
EC-Earth3-Veg_r3i1p1f1_ssp370,EC-Earth3-Veg,r3i1p1f1,ssp370,0.8549848759439929,-612.5325852380868,0.5839712578258104,1.5258118505026583e-09,0.2517805384198223,517.5762307273085,1116.2468339206669,1147.0262894546506,1153.0111835862585,1170.1108811051383,2.8,4.8,3.3
EC-Earth3-Veg_r4i1p1f1_ssp370,EC-Earth3-Veg,r4i1p1f1,ssp370,0.6093057075378487,-144.01078121019896,0.4163133290274574,4.480880828584537e-05,0.28190603360659605,579.5041316898734,1088.0053594313313,1109.9403649026938,1114.2055048554587,1126.3916190062157,2.0,3.5,2.4
EC-Earth3-Veg_r1i1p1f1_ssp585,EC-Earth3-Veg,r1i1p1f1,ssp585,-0.6768607381505477,2472.4167088374243,-0.6475850976725567,5.277327659077859e-12,0.1687226619216965,346.8371302395886,1103.804296297017,1079.437309723597,1074.6992845565433,1061.1620697935323,-2.2,-3.9,-2.6
EC-Earth3-Veg_r2i1p1f1_ssp585,EC-Earth3-Veg,r2i1p1f1,ssp585,0.4946986126600075,123.71561574936504,0.21485764228519658,0.041987656266392635,0.4763724830218182,979.2618433976239,1123.9962105479003,1141.8053606036606,1145.2682508922803,1155.1622231454805,1.6,2.8,1.9
EC-Earth3-Veg_r3i1p1f1_ssp585,EC-Earth3-Veg,r3i1p1f1,ssp585,-0.9504415646142086,3063.041254618951,-0.5206699595113832,1.4362285695678276e-07,0.33015477890564454,678.6873484942006,1141.248410969021,1107.0325146429097,1100.37942369061,1081.370592398326,-3.0,-5.2,-3.6
EC-Earth3-Veg_r4i1p1f1_ssp585,EC-Earth3-Veg,r4i1p1f1,ssp585,1.025294380624022,-1034.394154281981,0.5901518659582796,9.281069668098656e-10,0.297122442623289,610.7839584528658,1038.7510833397916,1075.6616810422563,1082.8387417066244,1103.3446293191048,3.6,6.2,4.2
FGOALS-g3_r1i1p1f1_ssp245,FGOALS-g3,r1i1p1f1,ssp245,0.9859195261909194,-950.4366292214959,0.7381686232729201,1.0312513475967768e-16,0.19088094043873222,392.38710938503925,1043.0926527365432,1078.5857556794163,1085.4871923627527,1105.205582886571,3.4,6.0,4.1
FGOALS-g3_r3i1p1f1_ssp245,FGOALS-g3,r3i1p1f1,ssp245,-2.272508260956299,5731.774881286367,-0.9332501345170514,6.76466526095588e-41,0.18530900020640112,380.93307150988346,1136.7631776327307,1054.9528802383038,1039.04532241161,993.5951571924843,-7.2,-12.6,-8.6
FGOALS-g3_r4i1p1f1_ssp245,FGOALS-g3,r4i1p1f1,ssp245,0.8476508292884225,-617.5999918621717,0.5747413688199793,3.145148493863858e-09,0.25567931942083466,525.5908151252913,1096.3499849590187,1126.865414813402,1132.7989706184208,1149.7519872041892,2.8,4.9,3.3
FGOALS-g3_r1i1p1f1_ssp370,FGOALS-g3,r1i1p1f1,ssp370,1.3157422918031731,-1613.0737721018281,0.6810851790578244,1.5048240604563747e-13,0.29965497825285986,615.9900011977195,1047.357141924188,1094.7238644291024,1103.9340604717245,1130.2489063077878,4.5,7.9,5.4
FGOALS-g3_r3i1p1f1_ssp370,FGOALS-g3,r3i1p1f1,ssp370,0.07119815094508926,960.9017099754835,0.05624039828152304,0.5985393522247957,0.26776406185643475,550.4329871151651,1104.864371186454,1107.4275046204773,1107.9258916770927,1109.3498546959945,0.2,0.4,0.3
FGOALS-g3_r4i1p1f1_ssp370,FGOALS-g3,r4i1p1f1,ssp370,0.455922753383621,160.7002586363817,0.39981980631552316,9.455536680509341e-05,0.22142351492889123,455.1723853262873,1082.5760659780633,1098.9892850998735,1102.180744373559,1111.2991994412314,1.5,2.7,1.8
FGOALS-g3_r5i1p1f1_ssp370,FGOALS-g3,r5i1p1f1,ssp370,2.531304170606689,-4140.201648151143,0.8435460816768929,1.7466288503040928e-25,0.3414095183185105,701.823313011904,978.0953848155832,1069.2223349574233,1086.9414641516705,1137.5675475638045,9.3,16.3,11.1
FGOALS-g3_r1i1p1f1_ssp585,FGOALS-g3,r1i1p1f1,ssp585,2.858986896921044,-4767.570594290894,0.8992554220778641,2.3597708448586523e-33,0.29461273084304296,605.6248338772174,1013.3009112834561,1116.2244395726138,1136.2373478510617,1193.4170857894824,10.2,17.8,12.1
FGOALS-g3_r3i1p1f1_ssp585,FGOALS-g3,r3i1p1f1,ssp585,0.8510672143959996,-597.9347362808346,0.5073747465161716,3.331462277015481e-07,0.3062131576772594,629.4714156399045,1122.9231712278768,1153.5615909461326,1159.5190614469047,1176.5404057348246,2.7,4.8,3.3
FGOALS-g3_r4i1p1f1_ssp585,FGOALS-g3,r4i1p1f1,ssp585,1.3633713513314267,-1707.4341853764433,0.57172988494372,3.96322496377112e-09,0.41446798728162915,852.006989740677,1049.3026870157016,1098.384055663633,1107.927655122953,1135.1950821495814,4.7,8.2,5.6
GFDL-ESM4_r1i1p1f1_ssp245,GFDL-ESM4,r1i1p1f1,ssp245,1.0870813358512275,-1144.1427548090226,0.6233599706756551,5.314349213323494e-11,0.28887746501784506,593.8350534332839,1053.9357062821593,1093.0706343728036,1100.6802037237624,1122.4218304407866,3.7,6.5,4.4
GFDL-ESM4_r1i1p1f1_ssp370,GFDL-ESM4,r1i1p1f1,ssp370,0.08910794192236789,847.3199734913688,0.05435893801048489,0.6108489247384008,0.34675500169387624,712.8118316408699,1027.4962320583968,1030.7041179676019,1031.3278735610586,1033.1100323995058,0.3,0.5,0.4
GFDL-ESM4_r1i1p1f1_ssp585,GFDL-ESM4,r1i1p1f1,ssp585,0.4688969691580479,106.92462850063453,0.2911594999264847,0.005366612362959258,0.3263852707104797,670.9385055709403,1055.0343001382075,1071.9145910278971,1075.1968698120036,1084.5748091951646,1.6,2.8,1.9
HadGEM3-GC31-LL_r1i1p1f3_ssp245,HadGEM3-GC31-LL,r1i1p1f3,ssp245,-0.42239944296172993,2006.6848274497809,-0.336736008920049,0.0011735568036184932,0.25021865866756315,514.3655304877384,1152.593153781163,1137.3867738345407,1134.4299777338085,1125.981988874574,-1.3,-2.3,-1.6
HadGEM3-GC31-LL_r1i1p1f3_ssp585,HadGEM3-GC31-LL,r1i1p1f3,ssp585,0.9346684004694646,-763.8803405518543,0.5297833142312022,7.899323220027393e-08,0.3169882350264735,651.6213560411852,1126.0191651974033,1159.667227614304,1166.2099064175902,1184.9032744269796,3.0,5.2,3.6
HadGEM3-GC31-LL_r2i1p1f3_ssp585,HadGEM3-GC31-LL,r2i1p1f3,ssp585,3.1688692855169034,-5389.016936498418,0.8639112196698717,5.98773523794686e-28,0.39136218906447734,804.5092283003603,1018.4367588167606,1132.51605309537,1154.6981380939878,1218.0755238043257,11.2,19.6,13.4
HadGEM3-GC31-LL_r3i1p1f3_ssp585,HadGEM3-GC31-LL,r3i1p1f3,ssp585,3.7218138155926717,-6547.2617531193955,0.8648706094697822,4.481647368360888e-28,0.45763859915096405,940.7512696193113,978.2457820089867,1112.2310793703227,1138.2837760794719,1212.7200523913252,13.7,24.0,16.4
INM-CM5-0_r1i1p1f1_ssp245,INM-CM5-0,r1i1p1f1,ssp245,-0.5867548457009045,2305.152290813603,-0.5718272848003965,3.933843322032137e-09,0.17832966700528644,366.5859063401925,1118.733992806374,1097.6108183611416,1093.5035344412352,1081.7684375272172,-1.9,-3.3,-2.3
INM-CM5-0_r1i1p1f1_ssp370,INM-CM5-0,r1i1p1f1,ssp370,-1.7772489573758081,4698.880943999629,-0.8271520691298871,9.638068051547866e-24,0.2558009945897782,525.8409384100778,1105.2835521857455,1041.3025897202165,1028.8618470185856,993.3168678710695,-5.8,-10.1,-6.9
INM-CM5-0_r2i1p1f1_ssp370,INM-CM5-0,r2i1p1f1,ssp370,0.5453766713458271,-13.1199798516368,0.2965961350002729,0.00453125680119852,0.37201091937185654,764.7295166111514,1089.6316496096256,1109.2652097780754,1113.082846477496,1123.9903799044127,1.8,3.2,2.2
INM-CM5-0_r3i1p1f1_ssp370,INM-CM5-0,r3i1p1f1,ssp370,0.3435091387866233,346.0821797093304,0.4579982978179221,5.6535831575492816e-06,0.1412450208050576,290.3523280079161,1040.6576583358828,1053.0239873322012,1055.4285513037075,1062.29873407944,1.2,2.1,1.4
INM-CM5-0_r4i1p1f1_ssp370,INM-CM5-0,r4i1p1f1,ssp370,-0.23490425012342311,1545.3887432756683,-0.20480782179887644,0.052819065903840834,0.23782590404851378,488.8901888894101,1070.4123495261067,1061.9557965216636,1060.3114667707996,1055.613381768331,-0.8,-1.4,-0.9
INM-CM5-0_r5i1p1f1_ssp370,INM-CM5-0,r5i1p1f1,ssp370,1.2111789930501151,-1419.0428245184444,0.5301021108317548,7.733370427963536e-08,0.4104219995578868,843.6897977576658,1029.9610994288882,1073.5635431786927,1082.0417961300432,1106.2653759910459,4.2,7.4,5.1
