period,mvs,window,n_windows,min_window_avg_pr
historical,CESM2-LENS_r5i1p1f1_ssp370,5,61,785.088601216914
historical,CESM2-LENS_r5i1p1f1_ssp370,10,56,927.310563930824
historical,CESM2-LENS_r5i1p1f1_ssp370,15,51,997.2041598322661
historical,CESM2-LENS_r5i1p1f1_ssp370,20,46,1033.7223613362723
historical,CESM2-LENS_r6i1p1f1_ssp370,2,64,554.6767678232263
historical,CESM2-LENS_r6i1p1f1_ssp370,5,61,814.628854291678
historical,CESM2-LENS_r6i1p1f1_ssp370,10,56,944.3039284151048
historical,CESM2-LENS_r6i1p1f1_ssp370,15,51,1030.6820427050611
historical,CESM2-LENS_r6i1p1f1_ssp370,20,46,1045.1019465401814
historical,CESM2-LENS_r7i1p1f1_ssp370,2,64,689.4963996929237
historical,CESM2-LENS_r7i1p1f1_ssp370,5,61,864.2246298412422
historical,CESM2-LENS_r7i1p1f1_ssp370,10,56,1034.2856583012667
historical,CESM2-LENS_r7i1p1f1_ssp370,15,51,1065.2808645548746
historical,CESM2-LENS_r7i1p1f1_ssp370,20,46,1047.4255485548995
historical,CESM2-LENS_r8i1p1f1_ssp370,2,64,612.9401187593567
historical,CESM2-LENS_r8i1p1f1_ssp370,5,61,826.2660241684468
historical,CESM2-LENS_r8i1p1f1_ssp370,10,56,935.6450241963648
historical,CESM2-LENS_r8i1p1f1_ssp370,15,51,1017.8089194624098
historical,CESM2-LENS_r8i1p1f1_ssp370,20,46,1075.2461492399075
historical,CESM2-LENS_r9i1p1f1_ssp370,2,64,672.4489772570159
historical,CESM2-LENS_r9i1p1f1_ssp370,5,61,882.502725338946
historical,CESM2-LENS_r9i1p1f1_ssp370,10,56,985.2248587098708
historical,CESM2-LENS_r9i1p1f1_ssp370,15,51,1088.9092730443847
historical,CESM2-LENS_r9i1p1f1_ssp370,20,46,1100.8470384137213
historical,CNRM-ESM2-1_r1i1p1f2_ssp245,2,64,676.9758471877503
historical,CNRM-ESM2-1_r1i1p1f2_ssp245,5,61,961.6029636999286
historical,CNRM-ESM2-1_r1i1p1f2_ssp245,10,56,1005.0366024687333
historical,CNRM-ESM2-1_r1i1p1f2_ssp245,15,51,1024.8818888010646
historical,CNRM-ESM2-1_r1i1p1f2_ssp245,20,46,1061.995920835916
historical,CNRM-ESM2-1_r1i1p1f2_ssp370,2,64,676.9758471877503
