"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"IPSL-CM6A-LR","ssp245",1073.20984771058,11.0204412242537,0.431088587485776,-0.00403205628230546,0.0218326444540224,NA,"Fut(1993-2022)",2007,NA
"IPSL-CM6A-LR","ssp370",1065.31138016101,11.0098213322847,0.198046073281475,0.0111379860051243,0.0222690236373957,NA,"Fut(1993-2022)",2007,NA
"IPSL-CM6A-LR","ssp585",1069.09976913761,11.0206577286224,-0.0651679199232609,-0.0512130360334026,0.0479660410574017,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp245",1062.84018354707,11.2488874415188,-0.259248233696095,0.0186690366480436,0.0650644011181551,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp370",1054.66500844494,11.2444196397742,-0.451988330576937,0.0172348621296384,0.0689480811158401,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp585",1069.65560937189,11.2161363669821,-0.845225349461642,0.0485170555805023,0.0628879417880199,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp245",1059.75741131334,10.9795163396458,0.309526399206276,-0.0754694538644593,0.055027735809654,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp370",1045.68637941593,10.8968345065908,-0.15867207704485,-0.0432303251017607,0.0356771747344915,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp585",1057.08406337731,10.9072724749616,-0.108584723884778,-0.075498574474568,0.0585795141489207,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp245",1070.11921801715,10.9068937482326,0.638256798182759,-0.0645979131054168,0.0403137523751731,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp370",1067.1972996433,10.83459544527,-0.0058870049778438,-0.0441320875715281,0.0295576210277471,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp585",1050.31042309131,10.8533135811628,-0.144035361675909,-0.13721533839319,0.0188737310335529,NA,"Fut(1993-2022)",2007,NA
"MRI-ESM2-0","ssp370",1041.17328374785,11.0009416142297,-0.172650231020831,0.0747735700384315,0.0556116350314451,NA,"Fut(1993-2022)",2007,NA
"ACCESS-CM2","ssp245",1016.23872625289,11.1054299713077,-2.75367675904502,0.350749758935032,0.126378828157517,NA,"Fut(1994-2023)",2008,NA
"ACCESS-CM2","ssp370",1047.15178425329,11.0835669081179,-2.336612472228,0.235582214433206,0.115000360361279,NA,"Fut(1994-2023)",2008,NA
"ACCESS-CM2","ssp585",1017.12106751437,11.202911202555,-2.67885251237296,0.199748161690433,0.167309009424834,NA,"Fut(1994-2023)",2008,NA
"CESM2-LENS","ssp370",1048.44940868357,11.0995533528032,-0.119139292715551,0.134591693187481,0.106175670607726,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3","ssp245",1078.95995578278,10.9168530017869,-0.885091967055401,0.0683612129578531,0.103782102840032,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3","ssp370",1035.83380656688,10.9529813071241,-2.1231031633927,-0.10891406045671,0.131658636658885,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3","ssp585",1104.65936112329,10.8487348700401,-0.996335364355092,-0.201242633724963,0.0986449220674093,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3-VEG","ssp245",1074.80367499976,11.2253446450565,0.133647841402688,-0.0118708327546772,0.118949336445398,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3-VEG","ssp370",1093.22387049045,11.0811004972737,1.33477963739887,0.0205682060421773,0.0936337646331697,NA,"Fut(1994-2023)",2008,NA
"EC-EARTH3-VEG","ssp585",1075.39294251504,11.177946076782,0.936206453745511,0.0141781616580515,0.120861918926552,NA,"Fut(1994-2023)",2008,NA
"FGOALS-G3","ssp245",1077.32393068377,10.9372174543201,-1.3167556813622,-0.0483584890623439,0.121788330111219,NA,"Fut(1994-2023)",2008,NA
"FGOALS-G3","ssp370",1012.94901184185,11.0182129440855,-0.861288697286283,0.269083081433617,0.0950028080689851,NA,"Fut(1994-2023)",2008,NA
"FGOALS-G3","ssp585",1067.34932024798,11.0315099892837,-1.94269645711876,0.462337621131569,0.117123614914785,NA,"Fut(1994-2023)",2008,NA
"INM-CM5-0","ssp370",1057.63763037624,10.8385304550566,-0.287140973912853,-0.0686853731905202,0.0757205033750292,NA,"Fut(1994-2023)",2008,NA
"IPSL-CM6A-LR","ssp245",1066.77796233929,11.0748059420499,-0.170807911028436,-0.0080641125646031,0.0761973622502357,NA,"Fut(1994-2023)",2008,NA
"IPSL-CM6A-LR","ssp370",1060.248574036,11.0646198582316,-0.27813703225981,0.0222759720102446,0.0770675495842426,NA,"Fut(1994-2023)",2008,NA
"IPSL-CM6A-LR","ssp585",1066.16127784103,11.0760276562115,-0.339845403511905,-0.102426072066805,0.103335968646562,NA,"Fut(1994-2023)",2008,NA
"KACE-1-0-G","ssp245",1061.85925082588,11.3042350056061,-0.35130249411838,0.037338073296094,0.120411965205419,NA,"Fut(1994-2023)",2008,NA
