index,member_id,Year,Month,Day,Pr (mm),Tasmax (degC),Tasmin (degC),Year
24151,r4i1p1f1,2081,02,14,0.044466293748741434,5.3903666,-5.9999123,2081
24152,r4i1p1f1,2081,02,15,0.005691549114478261,7.441033,-6.034379,2081
24153,r4i1p1f1,2081,02,16,0.0,10.093723,-5.0883093,2081
24154,r4i1p1f1,2081,02,17,0.0,9.632881,-5.068998,2081
24155,r4i1p1f1,2081,02,18,0.0,11.280951,-4.1312523,2081
24156,r4i1p1f1,2081,02,19,0.0,12.616081,-2.7367232,2081
24157,r4i1p1f1,2081,02,20,0.0,13.781885,-2.3388681,2081
24158,r4i1p1f1,2081,02,21,0.0,16.125547,-0.12349516,2081
24159,r4i1p1f1,2081,02,22,0.0,18.422838,2.2826164,2081
24160,r4i1p1f1,2081,02,23,0.0,17.297207,1.5315577,2081
24161,r4i1p1f1,2081,02,24,0.0002856018498128271,13.5036745,0.10299802,2081
24162,r4i1p1f1,2081,02,25,10.829984611501725,7.2381015,-4.9894943,2081
24163,r4i1p1f1,2081,02,26,14.786130478306656,5.150515,-4.7461567,2081
24164,r4i1p1f1,2081,02,27,30.673515586118263,4.833322,-3.446491,2081
24165,r4i1p1f1,2081,02,28,11.984650065645505,-0.47731557,-6.0490947,2081
24166,r4i1p1f1,2081,03,01,22.347172711549536,1.9479508,-4.9472184,2081
24167,r4i1p1f1,2081,03,02,27.096330507765817,4.8673296,-2.6246762,2081
24168,r4i1p1f1,2081,03,03,9.992976231232614,9.16795,1.6378725,2081
24169,r4i1p1f1,2081,03,04,14.291246330469852,11.569732,4.073388,2081
24170,r4i1p1f1,2081,03,05,0.0,12.909414,-2.7459805,2081
24171,r4i1p1f1,2081,03,06,0.0,14.8310375,-3.7428486,2081
24172,r4i1p1f1,2081,03,07,5.61713702615869,12.188707,-0.5921682,2081
24173,r4i1p1f1,2081,03,08,1.7150370037000477,7.274095,1.0239141,2081
24174,r4i1p1f1,2081,03,09,0.1985265808663781,12.54204,-0.5448734,2081
24175,r4i1p1f1,2081,03,10,0.0,16.533937,-1.6615275,2081
24176,r4i1p1f1,2081,03,11,0.0,17.25197,1.7101729,2081
24177,r4i1p1f1,2081,03,12,2.0753382554480213,14.392018,3.5197453,2081
24178,r4i1p1f1,2081,03,13,0.3028208455280227,15.987961,5.3173018,2081
24179,r4i1p1f1,2081,03,14,0.008563156024746265,20.790947,6.4340596,2081
24180,r4i1p1f1,2081,03,15,4.981269832005549,16.135939,6.3047323,2081
24181,r4i1p1f1,2081,03,16,0.024056843719828448,16.053823,7.1292152,2081
24182,r4i1p1f1,2081,03,17,0.0,17.454922,1.482272,2081
24183,r4i1p1f1,2081,03,18,0.0,18.256502,4.055122,2081
24184,r4i1p1f1,2081,03,19,0.0,18.535393,2.894684,2081
24185,r4i1p1f1,2081,03,20,19.88184684304771,14.01889,1.5185028,2081
24186,r4i1p1f1,2081,03,21,26.474402067032486,9.513255,2.9816353,2081
24187,r4i1p1f1,2081,03,22,3.902737675048557,7.9019456,-1.7209222,2081
24188,r4i1p1f1,2081,03,23,15.959992245674238,9.067133,0.046733893,2081
24189,r4i1p1f1,2081,03,24,22.152733519983098,8.563295,1.7464991,2081
24190,r4i1p1f1,2081,03,25,10.413741368132204,8.776505,0.5546725,2081
24191,r4i1p1f1,2081,03,26,13.73879629673729,7.859849,1.3598492,2081
24192,r4i1p1f1,2081,03,27,2.789023409392474,7.1665325,-0.35028905,2081
24193,r4i1p1f1,2081,03,28,0.10056282747824903,9.980676,-3.4395957,2081
24194,r4i1p1f1,2081,03,29,0.0,14.072316,-5.643156,2081
24195,r4i1p1f1,2081,03,30,0.0,14.514026,-2.212971,2081
24196,r4i1p1f1,2081,03,31,2.6081169741978236,11.721956,-1.587666,2081
24197,r4i1p1f1,2081,04,01,0.002241016778485667,8.493284,-2.6638544,2081
24198,r4i1p1f1,2081,04,02,0.0,13.885746,-3.083946,2081
24199,r4i1p1f1,2081,04,03,0.0,13.794531,-1.5411223,2081
24200,r4i1p1f1,2081,04,04,0.4819261542194361,11.6675415,1.2324973,2081
24201,r4i1p1f1,2081,04,05,0.0,14.981573,-3.3607178,2081
24202,r4i1p1f1,2081,04,06,0.0,17.28864,-0.04496849,2081
24203,r4i1p1f1,2081,04,07,0.06658009596711156,17.065836,2.0043864,2081
24204,r4i1p1f1,2081,04,08,0.0,18.771288,0.8181373,2081
24205,r4i1p1f1,2081,04,09,0.016399588392286987,19.11405,1.4996505,2081
24206,r4i1p1f1,2081,04,10,0.9255848007432067,14.726453,5.0296764,2081
24207,r4i1p1f1,2081,04,11,0.0,15.271538,-1.1822683,2081
24208,r4i1p1f1,2081,04,12,8.642470798471543,12.483952,1.2328483,2081
24209,r4i1p1f1,2081,04,13,0.0,9.340651,-1.7018298,2081
24210,r4i1p1f1,2081,04,14,0.0,17.856148,-2.222207,2081
24211,r4i1p1f1,2081,04,15,0.0,19.4874,2.1062078,2081
24212,r4i1p1f1,2081,04,16,0.0,22.322968,4.41416,2081
24213,r4i1p1f1,2081,04,17,0.0,24.718016,5.8874483,2081
24214,r4i1p1f1,2081,04,18,0.0,23.191362,7.897553,2081
24215,r4i1p1f1,2081,04,19,0.04188668244440066,17.43074,4.1934276,2081
24216,r4i1p1f1,2081,04,20,0.0,18.280724,0.8302483,2081
24217,r4i1p1f1,2081,04,21,0.0,24.116762,4.155408,2081
24218,r4i1p1f1,2081,04,22,0.0,27.167147,7.7911468,2081
24219,r4i1p1f1,2081,04,23,0.0,28.71216,9.437447,2081
24220,r4i1p1f1,2081,04,24,0.0,27.366974,9.814228,2081
24221,r4i1p1f1,2081,04,25,0.0,23.414312,7.043112,2081
24222,r4i1p1f1,2081,04,26,1.0694791210698507,21.058863,1.755724,2081
24223,r4i1p1f1,2081,04,27,0.0,21.189032,2.0718012,2081
24224,r4i1p1f1,2081,04,28,0.0,20.947176,4.9087396,2081
24225,r4i1p1f1,2081,04,29,0.06992700595241864,15.434625,0.030953307,2081
24226,r4i1p1f1,2081,04,30,1.09967632847401,12.504978,0.47876453,2081
24227,r4i1p1f1,2081,05,01,0.01351937854626045,15.822899,1.1345271,2081
24228,r4i1p1f1,2081,05,02,0.0,21.162373,0.8913562,2081
24229,r4i1p1f1,2081,05,03,0.0,22.213184,6.028059,2081
24230,r4i1p1f1,2081,05,04,4.9041275993437266,17.400068,0.8692597,2081
24231,r4i1p1f1,2081,05,05,3.7737987856625557,8.353704,0.17685914,2081
24232,r4i1p1f1,2081,05,06,0.0,12.325596,-3.585291,2081
24233,r4i1p1f1,2081,05,07,0.012862087010533138,17.38553,-0.9343503,2081
24234,r4i1p1f1,2081,05,08,0.0,20.683754,1.9669242,2081
24235,r4i1p1f1,2081,05,09,4.1083079065183625,17.166155,1.5069876,2081
24236,r4i1p1f1,2081,05,10,0.46412643850625007,12.830924,3.7439806,2081
24237,r4i1p1f1,2081,05,11,0.1265016276368392,15.580985,-0.13161032,2081
24238,r4i1p1f1,2081,05,12,2.5284464077465736,15.398819,-0.4409768,2081
24239,r4i1p1f1,2081,05,13,0.0,16.80337,0.91843814,2081
24240,r4i1p1f1,2081,05,14,5.481324379058374,14.587023,-1.6658305,2081
24241,r4i1p1f1,2081,05,15,1.5700463741255197,9.550214,-1.231598,2081
24242,r4i1p1f1,2081,05,16,1.1179246015623496,10.253856,-0.4932181,2081
24243,r4i1p1f1,2081,05,17,0.0,18.155022,-0.06467575,2081
24244,r4i1p1f1,2081,05,18,0.0,24.751389,3.2899785,2081
24245,r4i1p1f1,2081,05,19,0.0,29.426098,8.354186,2081
24246,r4i1p1f1,2081,05,20,0.0,31.209202,11.112611,2081
24247,r4i1p1f1,2081,05,21,0.0,30.955221,11.498285,2081
24248,r4i1p1f1,2081,05,22,0.0,29.07161,9.696421,2081
24249,r4i1p1f1,2081,05,23,0.16791483823056844,22.535093,5.451335,2081
24250,r4i1p1f1,2081,05,24,0.0,15.459839,0.3203452,2081
24251,r4i1p1f1,2081,05,25,0.0,22.009348,1.297389,2081
24252,r4i1p1f1,2081,05,26,0.0,28.844948,7.4480414,2081
24253,r4i1p1f1,2081,05,27,0.0,32.558044,12.221721,2081
24254,r4i1p1f1,2081,05,28,0.0,35.0579,16.435637,2081
24255,r4i1p1f1,2081,05,29,0.0,33.90885,14.790279,2081
24256,r4i1p1f1,2081,05,30,0.0,32.82472,13.283357,2081
24257,r4i1p1f1,2081,05,31,0.0,31.157185,13.919981,2081
24258,r4i1p1f1,2081,06,01,0.0,29.858055,11.748488,2081
24259,r4i1p1f1,2081,06,02,0.0,30.011728,12.035714,2081
24260,r4i1p1f1,2081,06,03,0.0,28.695667,8.7139225,2081
24261,r4i1p1f1,2081,06,04,0.1121087712526165,21.18492,4.1873183,2081
24262,r4i1p1f1,2081,06,05,0.0,23.557878,4.103626,2081
24263,r4i1p1f1,2081,06,06,0.0,23.454294,5.498615,2081
24264,r4i1p1f1,2081,06,07,0.0,24.465515,5.845593,2081
24265,r4i1p1f1,2081,06,08,0.0,28.885551,7.9253774,2081
24266,r4i1p1f1,2081,06,09,0.0,28.324007,10.240125,2081
24267,r4i1p1f1,2081,06,10,0.0,26.265823,9.057091,2081
24268,r4i1p1f1,2081,06,11,0.0046663814438840465,24.063297,8.678783,2081
24269,r4i1p1f1,2081,06,12,0.0,26.932066,6.614933,2081
24270,r4i1p1f1,2081,06,13,0.0,27.285858,10.160366,2081
24271,r4i1p1f1,2081,06,14,0.0,29.109755,11.47347,2081
24272,r4i1p1f1,2081,06,15,0.0,29.985075,10.0580635,2081
24273,r4i1p1f1,2081,06,16,0.0,27.978746,11.409902,2081
24274,r4i1p1f1,2081,06,17,0.0,32.817284,10.810004,2081
24275,r4i1p1f1,2081,06,18,0.0,35.203735,13.782638,2081
24276,r4i1p1f1,2081,06,19,0.0010250901822289446,33.48725,12.574774,2081
24277,r4i1p1f1,2081,06,20,0.0,25.712223,9.779327,2081
24278,r4i1p1f1,2081,06,21,0.0,25.154179,5.957767,2081
24279,r4i1p1f1,2081,06,22,0.0,25.07183,7.135345,2081
24280,r4i1p1f1,2081,06,23,0.0,30.179947,8.589787,2081
24281,r4i1p1f1,2081,06,24,0.0,33.236107,12.527485,2081
24282,r4i1p1f1,2081,06,25,0.02495171182728181,33.247295,13.434597,2081
24283,r4i1p1f1,2081,06,26,0.03378198971370318,31.078169,11.643039,2081
24284,r4i1p1f1,2081,06,27,0.0,29.87646,11.730621,2081
24285,r4i1p1f1,2081,06,28,0.0,27.011196,8.837324,2081
24286,r4i1p1f1,2081,06,29,0.0,26.916405,9.8054285,2081
24287,r4i1p1f1,2081,06,30,0.0,27.670248,8.174223,2081
24288,r4i1p1f1,2081,07,01,0.0,30.394827,7.6887593,2081
24289,r4i1p1f1,2081,07,02,0.037871042136887266,31.267178,10.367019,2081
24290,r4i1p1f1,2081,07,03,0.003249334194560554,33.20261,11.387504,2081
24291,r4i1p1f1,2081,07,04,0.0,32.81421,14.757979,2081
24292,r4i1p1f1,2081,07,05,0.0,31.482546,12.109322,2081
24293,r4i1p1f1,2081,07,06,0.0031371102940872557,32.48681,12.198095,2081
24294,r4i1p1f1,2081,07,07,0.0,33.14159,13.973653,2081
24295,r4i1p1f1,2081,07,08,0.015075918959522394,32.09411,12.221951,2081
24296,r4i1p1f1,2081,07,09,0.0,31.106638,11.1283655,2081
24297,r4i1p1f1,2081,07,10,0.0,32.092495,11.329434,2081
24298,r4i1p1f1,2081,07,11,0.0,31.234293,12.540841,2081
24299,r4i1p1f1,2081,07,12,0.0,30.812103,11.465293,2081
